basin,river,station_code,station_name,hydro_metric,class,n_years,years_used,pearson_r,pearson_p,pearson_q,spearman_r,spearman_p,spearman_q
Merkys,Merkys,puvociu-vms,Puvočių VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.343,0.4133,0.5786,0.19,0.6646,0.752
Merkys,Merkys,puvociu-vms,Puvočių VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.533,0.1714,0.4311,0.595,0.1323,0.6615
Merkys,Merkys,puvociu-vms,Puvočių VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.561,0.1724,0.4311,0.143,0.752,0.752
Merkys,Merkys,puvociu-vms,Puvočių VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.24,0.5786,0.5786,-0.31,0.4618,0.752
Merkys,Merkys,puvociu-vms,Puvočių VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.303,0.4749,0.5786,0.31,0.4618,0.752
Šešupė,Šešupė,kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,discharge,Water,7,2017;2018;2019;2020;2021;2022;2023,-0.079,0.8556,0.8556,0.071,0.9063,1.0
Šešupė,Šešupė,kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,discharge,Wetland,7,2017;2018;2019;2020;2021;2022;2023,0.735,0.0573,0.2867,0.821,0.0341,0.1706
Šešupė,Šešupė,kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,discharge,Urban,7,2017;2018;2019;2020;2021;2022;2023,-0.589,0.1617,0.4043,-0.25,0.5948,1.0
Šešupė,Šešupė,kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,discharge,Agriculture,7,2017;2018;2019;2020;2021;2022;2023,-0.347,0.4724,0.5905,-0.143,0.7825,1.0
Šešupė,Šešupė,kudirkos-naumiescio-vms,Kudirkos Naumiesčio VMS,discharge,Forest,7,2017;2018;2019;2020;2021;2022;2023,0.388,0.4067,0.5905,0.0,1.0,1.0
Neris,Neris,jonavos-vms,Jonavos VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.635,0.0943,0.19,0.095,0.8401,0.9349
Neris,Neris,jonavos-vms,Jonavos VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.0,0.9992,0.9992,0.048,0.9349,0.9349
Neris,Neris,jonavos-vms,Jonavos VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.351,0.3937,0.4922,0.143,0.752,0.9349
Neris,Neris,jonavos-vms,Jonavos VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.599,0.114,0.19,-0.833,0.0154,0.0698
Neris,Neris,jonavos-vms,Jonavos VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.806,0.0152,0.076,0.786,0.0279,0.0698
Minija,Minija,lankupiu-minija-vms,Lankupių VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.535,0.1603,0.2672,-0.119,0.793,0.882
Minija,Minija,lankupiu-minija-vms,Lankupių VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.687,0.0399,0.1994,0.714,0.0576,0.2875
Minija,Minija,lankupiu-minija-vms,Lankupių VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.713,0.1148,0.2672,0.071,0.882,0.882
Minija,Minija,lankupiu-minija-vms,Lankupių VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,0.358,0.3882,0.4853,0.619,0.115,0.2875
Minija,Minija,lankupiu-minija-vms,Lankupių VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.108,0.8469,0.8469,-0.524,0.1966,0.3277
Šventoji,Šventoji,ukmerges-vms,Ukmergės VMS,discharge,Water,7,2017;2018;2019;2020;2021;2022;2023,0.555,0.2056,0.2569,0.536,0.2357,0.3929
