year,class_id,class_name,count
1990,1,Water,125245
1990,2,Wetlands,57464
1990,3,Urban,214639
1990,4,Agriculture,4028369
1990,5,Forest,2095548
2000,1,Water,125322
2000,2,Wetlands,58202
2000,3,Urban,213656
2000,4,Agriculture,4014666
2000,5,Forest,2109419
2006,1,Water,126616
2006,2,Wetlands,60509
2006,3,Urban,210282
2006,4,Agriculture,3946274
2006,5,Forest,2177584
2012,1,Water,129930
2012,2,Wetlands,56766
2012,3,Urban,219774
2012,4,Agriculture,3842418
2012,5,Forest,2272377
2018,1,Water,130024
2018,2,Wetlands,56727
2018,3,Urban,221742
2018,4,Agriculture,3843012
2018,5,Forest,2269760
