year,class_id,class_name,count
2017,1,Water,15850649
2017,2,Wetland,1728227
2017,3,Urban,25093706
2017,4,Agriculture,325700383
2017,5,Forest,281648075
2018,1,Water,15947755
2018,2,Wetland,1048359
2018,3,Urban,27336567
2018,4,Agriculture,329929271
2018,5,Forest,275759088
2019,1,Water,15537445
2019,2,Wetland,1130375
2019,3,Urban,27865145
2019,4,Agriculture,334628672
2019,5,Forest,270859403
2020,1,Water,15646173
2020,2,Wetland,1169768
2020,3,Urban,26955589
2020,4,Agriculture,331369924
2020,5,Forest,274879586
2021,1,Water,15253434
2021,2,Wetland,1062616
2021,3,Urban,27299240
2021,4,Agriculture,325122238
2021,5,Forest,281283512
2022,1,Water,15517210
2022,2,Wetland,1486297
2022,3,Urban,28519272
2022,4,Agriculture,329367323
2022,5,Forest,275130938
2023,1,Water,15388621
2023,2,Wetland,1103485
2023,3,Urban,28296827
2023,4,Agriculture,327210046
2023,5,Forest,278022061
2024,1,Water,15290246
2024,2,Wetland,1101906
2024,3,Urban,28305414
2024,4,Agriculture,321591742
2024,5,Forest,283731732
2025,1,Water,15810772
2025,2,Wetland,1180854
2025,3,Urban,27985647
2025,4,Agriculture,321359683
2025,5,Forest,283684084
