year,class_id,class_name,count
1910,1,Water,1061
1910,3,Urban,355
1910,4,Agriculture,62259
1910,5,Forest,16941
1911,1,Water,1061
1911,3,Urban,357
1911,4,Agriculture,62243
1911,5,Forest,17010
1912,1,Water,1061
1912,3,Urban,354
1912,4,Agriculture,62261
1912,5,Forest,17125
1913,1,Water,1061
1913,3,Urban,352
1913,4,Agriculture,62268
1913,5,Forest,17210
1914,1,Water,1061
1914,3,Urban,354
1914,4,Agriculture,62255
1914,5,Forest,17298
1915,1,Water,1061
1915,3,Urban,352
1915,4,Agriculture,62264
1915,5,Forest,17327
1916,1,Water,1061
1916,3,Urban,353
1916,4,Agriculture,62228
1916,5,Forest,17404
1917,1,Water,1061
1917,3,Urban,353
1917,4,Agriculture,62249
1917,5,Forest,17436
1918,1,Water,1061
1918,3,Urban,353
1918,4,Agriculture,62208
1918,5,Forest,17505
1919,1,Water,1061
1919,3,Urban,350
1919,4,Agriculture,62227
1919,5,Forest,17549
1920,1,Water,1061
1920,3,Urban,350
1920,4,Agriculture,62148
1920,5,Forest,17638
1921,1,Water,1061
1921,3,Urban,353
1921,4,Agriculture,62144
1921,5,Forest,17692
1922,1,Water,1061
1922,3,Urban,350
1922,4,Agriculture,62054
1922,5,Forest,17723
1923,1,Water,1061
1923,3,Urban,354
1923,4,Agriculture,62023
1923,5,Forest,17777
1924,1,Water,1061
1924,3,Urban,352
1924,4,Agriculture,61949
1924,5,Forest,17843
1925,1,Water,1061
1925,3,Urban,350
1925,4,Agriculture,61952
1925,5,Forest,17882
1926,1,Water,1061
1926,3,Urban,351
1926,4,Agriculture,61879
1926,5,Forest,17915
1927,1,Water,1061
1927,3,Urban,350
1927,4,Agriculture,61858
1927,5,Forest,17929
1928,1,Water,1061
1928,3,Urban,351
1928,4,Agriculture,61842
1928,5,Forest,17960
1929,1,Water,1061
1929,3,Urban,352
1929,4,Agriculture,61857
1929,5,Forest,17973
1930,1,Water,1061
1930,3,Urban,355
1930,4,Agriculture,61799
1930,5,Forest,18029
1931,1,Water,1061
1931,3,Urban,356
1931,4,Agriculture,61792
1931,5,Forest,18058
1932,1,Water,1061
1932,3,Urban,361
1932,4,Agriculture,61758
1932,5,Forest,18112
1933,1,Water,1061
1933,3,Urban,363
1933,4,Agriculture,61801
1933,5,Forest,18140
1934,1,Water,1061
1934,3,Urban,364
1934,4,Agriculture,61784
1934,5,Forest,18152
1935,1,Water,1061
1935,3,Urban,366
1935,4,Agriculture,61801
1935,5,Forest,18159
1936,1,Water,1061
1936,3,Urban,368
1936,4,Agriculture,61801
1936,5,Forest,18202
1937,1,Water,1061
1937,3,Urban,370
1937,4,Agriculture,61817
1937,5,Forest,18249
1938,1,Water,1061
1938,3,Urban,377
1938,4,Agriculture,61739
1938,5,Forest,18305
1939,1,Water,1061
1939,3,Urban,377
1939,4,Agriculture,61582
1939,5,Forest,18307
1940,1,Water,1061
1940,3,Urban,386
1940,4,Agriculture,61584
1940,5,Forest,18364
1941,1,Water,1061
1941,3,Urban,382
1941,4,Agriculture,61354
1941,5,Forest,18399
1942,1,Water,1061
1942,3,Urban,384
1942,4,Agriculture,61537
1942,5,Forest,18434
1943,1,Water,1061
1943,3,Urban,388
1943,4,Agriculture,61453
1943,5,Forest,18463
1944,1,Water,1061
1944,3,Urban,396
1944,4,Agriculture,61363
1944,5,Forest,18511
1945,1,Water,1061
1945,3,Urban,400
1945,4,Agriculture,61350
1945,5,Forest,18532
1946,1,Water,1061
1946,3,Urban,407
1946,4,Agriculture,61279
1946,5,Forest,18542
1947,1,Water,1061
1947,3,Urban,410
1947,4,Agriculture,61212
1947,5,Forest,18575
1948,1,Water,1061
1948,3,Urban,413
1948,4,Agriculture,61118
1948,5,Forest,18616
1949,1,Water,1061
1949,3,Urban,415
1949,4,Agriculture,61059
1949,5,Forest,18656
1950,1,Water,1061
1950,3,Urban,421
1950,4,Agriculture,60891
1950,5,Forest,18730
1951,1,Water,1061
1951,3,Urban,421
1951,4,Agriculture,60832
1951,5,Forest,18730
1952,1,Water,1061
1952,3,Urban,423
1952,4,Agriculture,60680
1952,5,Forest,18780
1953,1,Water,1061
1953,3,Urban,424
1953,4,Agriculture,60599
1953,5,Forest,18845
1954,1,Water,1061
1954,3,Urban,430
1954,4,Agriculture,60474
1954,5,Forest,18903
1955,1,Water,1061
1955,3,Urban,434
1955,4,Agriculture,60366
1955,5,Forest,18915
1956,1,Water,1061
1956,3,Urban,434
1956,4,Agriculture,60223
1956,5,Forest,18993
1957,1,Water,1061
1957,3,Urban,440
1957,4,Agriculture,60147
1957,5,Forest,19040
1958,1,Water,1061
1958,3,Urban,439
1958,4,Agriculture,60015
1958,5,Forest,19060
1959,1,Water,1061
1959,3,Urban,445
1959,4,Agriculture,59935
1959,5,Forest,19093
1960,1,Water,1061
1960,3,Urban,444
1960,4,Agriculture,59744
1960,5,Forest,19160
1961,1,Water,1061
1961,3,Urban,450
1961,4,Agriculture,59638
1961,5,Forest,19227
1962,1,Water,1061
1962,3,Urban,454
1962,4,Agriculture,59485
1962,5,Forest,19269
1963,1,Water,1061
1963,3,Urban,458
1963,4,Agriculture,59396
1963,5,Forest,19283
1964,1,Water,1061
1964,3,Urban,459
1964,4,Agriculture,59232
1964,5,Forest,19335
1965,1,Water,1061
1965,3,Urban,464
1965,4,Agriculture,59136
1965,5,Forest,19388
1966,1,Water,1061
1966,3,Urban,468
1966,4,Agriculture,58980
1966,5,Forest,19404
1967,1,Water,1061
1967,3,Urban,476
1967,4,Agriculture,58853
1967,5,Forest,19432
1968,1,Water,1061
1968,3,Urban,485
1968,4,Agriculture,58683
1968,5,Forest,19477
1969,1,Water,1061
1969,3,Urban,496
1969,4,Agriculture,58588
1969,5,Forest,19497
1970,1,Water,1061
1970,3,Urban,502
1970,4,Agriculture,58430
1970,5,Forest,19507
1971,1,Water,1061
1971,3,Urban,517
1971,4,Agriculture,58306
1971,5,Forest,19507
1972,1,Water,1061
1972,3,Urban,526
1972,4,Agriculture,58134
1972,5,Forest,19544
1973,1,Water,1061
1973,3,Urban,540
1973,4,Agriculture,58019
1973,5,Forest,19576
1974,1,Water,1061
1974,3,Urban,548
1974,4,Agriculture,57828
1974,5,Forest,19632
1975,1,Water,1061
1975,3,Urban,560
1975,4,Agriculture,57725
1975,5,Forest,19662
1976,1,Water,1061
1976,3,Urban,566
1976,4,Agriculture,57539
1976,5,Forest,19746
1977,1,Water,1061
1977,3,Urban,578
1977,4,Agriculture,57430
1977,5,Forest,19787
1978,1,Water,1061
1978,3,Urban,589
1978,4,Agriculture,57065
1978,5,Forest,19827
1979,1,Water,1061
1979,3,Urban,605
1979,4,Agriculture,56771
1979,5,Forest,19838
1980,1,Water,1061
1980,3,Urban,620
1980,4,Agriculture,56402
1980,5,Forest,19867
1981,1,Water,1061
1981,3,Urban,639
1981,4,Agriculture,56109
1981,5,Forest,19921
1982,1,Water,1061
1982,3,Urban,659
1982,4,Agriculture,55722
1982,5,Forest,19912
1983,1,Water,1061
1983,3,Urban,676
1983,4,Agriculture,55424
1983,5,Forest,19911
1984,1,Water,1061
1984,3,Urban,695
1984,4,Agriculture,55026
1984,5,Forest,19949
1985,1,Water,1061
1985,3,Urban,715
1985,4,Agriculture,54686
1985,5,Forest,19933
1986,1,Water,1061
1986,3,Urban,736
1986,4,Agriculture,54296
1986,5,Forest,19880
1987,1,Water,1061
1987,3,Urban,759
1987,4,Agriculture,53922
1987,5,Forest,19851
1988,1,Water,1061
1988,3,Urban,783
1988,4,Agriculture,53506
1988,5,Forest,19851
1989,1,Water,1061
1989,3,Urban,807
1989,4,Agriculture,53168
1989,5,Forest,19804
1990,1,Water,1061
1990,3,Urban,832
1990,4,Agriculture,52808
1990,5,Forest,19735
1991,1,Water,1061
1991,3,Urban,860
1991,4,Agriculture,52260
1991,5,Forest,19655
1992,1,Water,1061
1992,3,Urban,888
1992,4,Agriculture,51640
1992,5,Forest,19648
1993,1,Water,1061
1993,3,Urban,919
1993,4,Agriculture,50732
1993,5,Forest,19607
1994,1,Water,1061
1994,3,Urban,941
1994,4,Agriculture,47374
1994,5,Forest,19479
1995,1,Water,1061
1995,3,Urban,973
1995,4,Agriculture,51746
1995,5,Forest,20738
1996,1,Water,1061
1996,3,Urban,991
1996,4,Agriculture,51760
1996,5,Forest,20996
1997,1,Water,1061
1997,3,Urban,1026
1997,4,Agriculture,51867
1997,5,Forest,21213
1998,1,Water,1061
1998,3,Urban,1059
1998,4,Agriculture,51980
1998,5,Forest,21299
1999,1,Water,1061
1999,3,Urban,1094
1999,4,Agriculture,53042
1999,5,Forest,21627
2000,1,Water,1061
2000,3,Urban,1132
2000,4,Agriculture,51826
2000,5,Forest,21640
2001,1,Water,1061
2001,3,Urban,1121
2001,4,Agriculture,41348
2001,5,Forest,21762
2002,1,Water,1061
2002,3,Urban,1156
2002,4,Agriculture,41271
2002,5,Forest,21780
2003,1,Water,1061
2003,3,Urban,1181
2003,4,Agriculture,36643
2003,5,Forest,21571
2004,1,Water,1061
2004,3,Urban,1216
2004,4,Agriculture,37680
2004,5,Forest,21793
2005,1,Water,1061
2005,3,Urban,1258
2005,4,Agriculture,41388
2005,5,Forest,21998
2006,1,Water,1061
2006,3,Urban,1286
2006,4,Agriculture,40724
2006,5,Forest,22021
2007,1,Water,1061
2007,3,Urban,1327
2007,4,Agriculture,39542
2007,5,Forest,21935
2008,1,Water,1061
2008,3,Urban,1358
2008,4,Agriculture,39362
2008,5,Forest,21932
2009,1,Water,1061
2009,3,Urban,1398
2009,4,Agriculture,39852
2009,5,Forest,22082
2010,1,Water,1061
2010,3,Urban,1437
2010,4,Agriculture,41141
2010,5,Forest,22127
2011,1,Water,1061
2011,3,Urban,1468
2011,4,Agriculture,41581
2011,5,Forest,22123
2012,1,Water,1061
2012,3,Urban,1506
2012,4,Agriculture,42084
2012,5,Forest,22133
2013,1,Water,1061
2013,3,Urban,1541
2013,4,Agriculture,42783
2013,5,Forest,22225
2014,1,Water,1061
2014,3,Urban,1578
2014,4,Agriculture,43635
2014,5,Forest,22658
2015,1,Water,1061
2015,3,Urban,1636
2015,4,Agriculture,44363
2015,5,Forest,22744
2016,1,Water,1061
2016,3,Urban,1671
2016,4,Agriculture,43614
2016,5,Forest,22962
2017,1,Water,1061
2017,3,Urban,1707
2017,4,Agriculture,43274
2017,5,Forest,23040
2018,1,Water,1061
2018,3,Urban,1708
