year,class_id,class_name,count
1910,1,Water,1064
1910,2,Wetland,0
1910,3,Urban,355
1910,4,Agriculture,62266
1910,5,Forest,28211
1911,1,Water,1064
1911,2,Wetland,0
1911,3,Urban,358
1911,4,Agriculture,62243
1911,5,Forest,28231
1912,1,Water,1064
1912,2,Wetland,0
1912,3,Urban,354
1912,4,Agriculture,62266
1912,5,Forest,28212
1913,1,Water,1064
1913,2,Wetland,0
1913,3,Urban,353
1913,4,Agriculture,62268
1913,5,Forest,28211
1914,1,Water,1064
1914,2,Wetland,0
1914,3,Urban,354
1914,4,Agriculture,62258
1914,5,Forest,28220
1915,1,Water,1064
1915,2,Wetland,0
1915,3,Urban,353
1915,4,Agriculture,62264
1915,5,Forest,28215
1916,1,Water,1064
1916,2,Wetland,0
1916,3,Urban,353
1916,4,Agriculture,62233
1916,5,Forest,28246
1917,1,Water,1064
1917,2,Wetland,0
1917,3,Urban,354
1917,4,Agriculture,62249
1917,5,Forest,28229
1918,1,Water,1064
1918,2,Wetland,0
1918,3,Urban,353
1918,4,Agriculture,62213
1918,5,Forest,28267
1919,1,Water,1064
1919,2,Wetland,0
1919,3,Urban,351
1919,4,Agriculture,62227
1919,5,Forest,28254
1920,1,Water,1064
1920,2,Wetland,0
1920,3,Urban,350
1920,4,Agriculture,62150
1920,5,Forest,28333
1921,1,Water,1064
1921,2,Wetland,0
1921,3,Urban,354
1921,4,Agriculture,62144
1921,5,Forest,28335
1922,1,Water,1064
1922,2,Wetland,0
1922,3,Urban,350
1922,4,Agriculture,62061
1922,5,Forest,28422
1923,1,Water,1064
1923,2,Wetland,0
1923,3,Urban,355
1923,4,Agriculture,62023
1923,5,Forest,28455
1924,1,Water,1064
1924,2,Wetland,0
1924,3,Urban,352
1924,4,Agriculture,61953
1924,5,Forest,28528
1925,1,Water,1064
1925,2,Wetland,0
1925,3,Urban,351
1925,4,Agriculture,61952
1925,5,Forest,28530
1926,1,Water,1064
1926,2,Wetland,0
1926,3,Urban,351
1926,4,Agriculture,61886
1926,5,Forest,28596
1927,1,Water,1064
1927,2,Wetland,0
1927,3,Urban,351
1927,4,Agriculture,61858
1927,5,Forest,28624
1928,1,Water,1064
1928,2,Wetland,0
1928,3,Urban,351
1928,4,Agriculture,61847
1928,5,Forest,28635
1929,1,Water,1064
1929,2,Wetland,0
1929,3,Urban,353
1929,4,Agriculture,61857
1929,5,Forest,28623
1930,1,Water,1064
1930,2,Wetland,0
1930,3,Urban,355
1930,4,Agriculture,61802
1930,5,Forest,28676
1931,1,Water,1064
1931,2,Wetland,0
1931,3,Urban,357
1931,4,Agriculture,61792
1931,5,Forest,28684
1932,1,Water,1064
1932,2,Wetland,0
1932,3,Urban,361
1932,4,Agriculture,61761
1932,5,Forest,28711
1933,1,Water,1064
1933,2,Wetland,0
1933,3,Urban,364
1933,4,Agriculture,61803
1933,5,Forest,28666
1934,1,Water,1064
1934,2,Wetland,0
1934,3,Urban,364
1934,4,Agriculture,61785
1934,5,Forest,28684
1935,1,Water,1064
1935,2,Wetland,0
1935,3,Urban,367
