year,class_id,class_name,count
1910,1,Water,1072
1910,3,Urban,355
1910,4,Agriculture,62268
1910,5,Forest,28203
1911,1,Water,1073
1911,3,Urban,357
1911,4,Agriculture,62245
1911,5,Forest,28223
1912,1,Water,1072
1912,3,Urban,354
1912,4,Agriculture,62268
1912,5,Forest,28204
1913,1,Water,1073
1913,3,Urban,352
1913,4,Agriculture,62270
1913,5,Forest,28203
1914,1,Water,1072
1914,3,Urban,354
1914,4,Agriculture,62260
1914,5,Forest,28212
1915,1,Water,1073
1915,3,Urban,352
1915,4,Agriculture,62266
1915,5,Forest,28207
1916,1,Water,1072
1916,3,Urban,353
1916,4,Agriculture,62235
1916,5,Forest,28238
1917,1,Water,1073
1917,3,Urban,353
1917,4,Agriculture,62251
1917,5,Forest,28221
1918,1,Water,1072
1918,3,Urban,353
1918,4,Agriculture,62214
1918,5,Forest,28259
1919,1,Water,1073
1919,3,Urban,350
1919,4,Agriculture,62229
1919,5,Forest,28246
1920,1,Water,1072
1920,3,Urban,350
1920,4,Agriculture,62152
1920,5,Forest,28324
1921,1,Water,1073
1921,3,Urban,353
1921,4,Agriculture,62145
1921,5,Forest,28327
1922,1,Water,1072
1922,3,Urban,350
1922,4,Agriculture,62062
1922,5,Forest,28414
1923,1,Water,1073
1923,3,Urban,354
1923,4,Agriculture,62024
1923,5,Forest,28447
1924,1,Water,1072
1924,3,Urban,352
1924,4,Agriculture,61954
1924,5,Forest,28520
1925,1,Water,1073
1925,3,Urban,350
1925,4,Agriculture,61953
1925,5,Forest,28522
1926,1,Water,1072
1926,3,Urban,351
1926,4,Agriculture,61887
1926,5,Forest,28588
1927,1,Water,1073
1927,3,Urban,350
1927,4,Agriculture,61859
1927,5,Forest,28616
1928,1,Water,1072
1928,3,Urban,351
1928,4,Agriculture,61848
1928,5,Forest,28627
1929,1,Water,1073
1929,3,Urban,352
1929,4,Agriculture,61858
1929,5,Forest,28615
1930,1,Water,1072
1930,3,Urban,355
1930,4,Agriculture,61803
1930,5,Forest,28668
1931,1,Water,1073
1931,3,Urban,356
1931,4,Agriculture,61793
1931,5,Forest,28676
1932,1,Water,1072
1932,3,Urban,361
1932,4,Agriculture,61762
1932,5,Forest,28703
1933,1,Water,1073
1933,3,Urban,363
1933,4,Agriculture,61804
1933,5,Forest,28658
1934,1,Water,1072
1934,3,Urban,364
1934,4,Agriculture,61787
1934,5,Forest,28675
1935,1,Water,1073
1935,3,Urban,366
1935,4,Agriculture,61804
1935,5,Forest,28655
1936,1,Water,1072
1936,3,Urban,368
1936,4,Agriculture,61803
1936,5,Forest,28655
1937,1,Water,1072
1937,3,Urban,370
1937,4,Agriculture,61817
1937,5,Forest,28639
1938,1,Water,1072
1938,3,Urban,377
1938,4,Agriculture,61743
1938,5,Forest,28706
1939,1,Water,1073
1939,3,Urban,377
1939,4,Agriculture,61582
1939,5,Forest,28866
1940,1,Water,1070
1940,3,Urban,386
1940,4,Agriculture,61588
1940,5,Forest,28854
1941,1,Water,1070
1941,3,Urban,382
1941,4,Agriculture,61355
1941,5,Forest,29091
1942,1,Water,1070
1942,3,Urban,384
1942,4,Agriculture,61541
1942,5,Forest,28903
1943,1,Water,1070
1943,3,Urban,388
1943,4,Agriculture,61453
1943,5,Forest,28987
1944,1,Water,1070
1944,3,Urban,396
1944,4,Agriculture,61367
1944,5,Forest,29065
1945,1,Water,1070
1945,3,Urban,400
1945,4,Agriculture,61350
1945,5,Forest,29078
1946,1,Water,1070
1946,3,Urban,407
1946,4,Agriculture,61283
1946,5,Forest,29138
1947,1,Water,1070
1947,3,Urban,410
1947,4,Agriculture,61212
1947,5,Forest,29206
1948,1,Water,1070
1948,3,Urban,413
1948,4,Agriculture,61122
1948,5,Forest,29293
1949,1,Water,1069
1949,3,Urban,415
1949,4,Agriculture,61061
1949,5,Forest,29353
1950,1,Water,1070
1950,3,Urban,421
1950,4,Agriculture,60895
1950,5,Forest,29512
1951,1,Water,1069
1951,3,Urban,421
1951,4,Agriculture,60833
1951,5,Forest,29575
1952,1,Water,1070
1952,3,Urban,423
1952,4,Agriculture,60684
1952,5,Forest,29721
1953,1,Water,1069
1953,3,Urban,424
1953,4,Agriculture,60600
1953,5,Forest,29805
1954,1,Water,1070
1954,3,Urban,430
1954,4,Agriculture,60477
1954,5,Forest,29921
1955,1,Water,1069
1955,3,Urban,434
1955,4,Agriculture,60368
1955,5,Forest,30027
1956,1,Water,1070
1956,3,Urban,434
1956,4,Agriculture,60226
1956,5,Forest,30168
1957,1,Water,1069
1957,3,Urban,440
1957,4,Agriculture,60149
1957,5,Forest,30240
1958,1,Water,1070
1958,3,Urban,439
1958,4,Agriculture,60018
1958,5,Forest,30371
1959,1,Water,1069
1959,3,Urban,445
1959,4,Agriculture,59937
1959,5,Forest,30447
1960,1,Water,1070
1960,3,Urban,444
1960,4,Agriculture,59747
1960,5,Forest,30637
1961,1,Water,1069
1961,3,Urban,450
1961,4,Agriculture,59640
1961,5,Forest,30739
1962,1,Water,1071
1962,3,Urban,454
1962,4,Agriculture,59488
1962,5,Forest,30885
1963,1,Water,1070
1963,3,Urban,458
1963,4,Agriculture,59398
1963,5,Forest,30972
1964,1,Water,1072
1964,3,Urban,459
1964,4,Agriculture,59233
1964,5,Forest,31134
1965,1,Water,1072
1965,3,Urban,464
1965,4,Agriculture,59139
1965,5,Forest,31223
1966,1,Water,1074
1966,3,Urban,468
1966,4,Agriculture,58982
1966,5,Forest,31374
1967,1,Water,1073
1967,3,Urban,476
1967,4,Agriculture,58856
1967,5,Forest,31493
