year,basin_index,class_id,count
1990,0,0,917550
1990,0,1,30325
1990,0,2,8500
1990,0,3,32171
1990,0,4,537839
1990,0,5,308691
1990,1,0,380022
1990,1,1,5409
1990,1,2,4589
1990,1,3,5537
1990,1,4,149556
1990,1,5,214884
1990,2,0,476994
1990,2,1,6504
1990,2,2,7909
1990,2,3,15259
1990,2,4,356454
1990,2,5,90862
1990,3,0,7537
1990,3,1,370
1990,3,3,88
1990,3,4,5189
1990,3,5,1883
1990,4,0,426743
1990,4,1,8404
1990,4,2,3572
1990,4,3,29160
1990,4,4,207741
1990,4,5,177865
1990,5,0,186289
1990,5,1,14452
1990,5,2,2989
1990,5,3,3989
1990,5,4,106595
1990,5,5,58261
1990,6,0,277554
1990,6,1,17972
1990,6,2,3500
1990,6,3,4525
1990,6,4,101942
1990,6,5,149615
1990,7,0,293958
1990,7,1,2739
1990,7,2,1643
1990,7,3,8516
1990,7,4,176354
1990,7,5,104706
1990,8,0,109997
1990,8,1,859
1990,8,2,2849
1990,8,3,9532
1990,8,4,61016
1990,8,5,35741
1990,9,0,679096
1990,9,1,19370
1990,9,2,4450
1990,9,3,15772
1990,9,4,443883
1990,9,5,195621
1990,10,0,513843
1990,10,1,5543
1990,10,2,3513
1990,10,3,16624
1990,10,4,331606
1990,10,5,156544
1990,11,0,196668
1990,11,1,1126
1990,11,2,2901
1990,11,3,5459
1990,11,4,130862
1990,11,5,56320
1990,12,0,400565
1990,12,1,2531
1990,12,2,1601
1990,12,3,11643
1990,12,4,264330
1990,12,5,120460
1990,13,0,614239
1990,13,1,2822
1990,13,2,3691
1990,13,3,20866
1990,13,4,411069
1990,13,5,175791
1990,14,0,74861
1990,14,1,359
1990,14,2,159
1990,14,3,2796
1990,14,4,60942
1990,14,5,10602
1990,15,0,175137
1990,15,1,286
1990,15,2,428
1990,15,3,5792
1990,15,4,140504
1990,15,5,28119
1990,16,0,38982
1990,16,1,149
1990,16,3,1454
1990,16,4,22037
1990,16,5,15333
1990,17,0,529819
1990,17,1,4389
1990,17,2,3480
1990,17,3,20110
1990,17,4,377976
1990,17,5,123862
1990,18,0,190148
1990,18,1,1064
1990,18,2,1469
1990,18,3,4221
1990,18,4,118018
1990,18,5,65365
2000,0,0,917550
2000,0,1,30130
2000,0,2,8650
2000,0,3,32034
2000,0,4,536793
2000,0,5,309919
2000,1,0,380022
2000,1,1,5387
2000,1,2,4599
2000,1,3,5609
2000,1,4,149239
2000,1,5,215141
2000,2,0,476994
2000,2,1,6520
2000,2,2,7906
2000,2,3,15415
2000,2,4,356405
2000,2,5,90742
2000,3,0,7537
2000,3,1,370
2000,3,3,88
2000,3,4,5188
2000,3,5,1884
2000,4,0,426743
2000,4,1,8365
2000,4,2,3601
2000,4,3,29802
2000,4,4,207414
2000,4,5,177560
2000,5,0,186289
2000,5,1,14514
2000,5,2,2992
2000,5,3,4024
2000,5,4,106440
2000,5,5,58316
2000,6,0,277554
2000,6,1,17938
2000,6,2,3500
2000,6,3,4608
2000,6,4,101546
2000,6,5,149962
2000,7,0,293958
2000,7,1,2734
2000,7,2,1756
2000,7,3,8264
2000,7,4,175005
2000,7,5,106199
2000,8,0,109997
2000,8,1,882
2000,8,2,2858
2000,8,3,9506
2000,8,4,60739
2000,8,5,36012
2000,9,0,679096
2000,9,1,19242
2000,9,2,4590
2000,9,3,15900
2000,9,4,442019
2000,9,5,197345
2000,10,0,513843
2000,10,1,5596
2000,10,2,3411
2000,10,3,15917
2000,10,4,329170
2000,10,5,159736
2000,11,0,196668
2000,11,1,1126
2000,11,2,3153
2000,11,3,5291
2000,11,4,129401
2000,11,5,57697
2000,12,0,400565
2000,12,1,2765
2000,12,2,1842
2000,12,3,10927
2000,12,4,262213
2000,12,5,122818
2000,13,0,614239
2000,13,1,2983
2000,13,2,3525
2000,13,3,20875
2000,13,4,411054
2000,13,5,175802
2000,14,0,74861
2000,14,1,363
2000,14,2,159
2000,14,3,2729
2000,14,4,60312
2000,14,5,11295
2000,15,0,175137
2000,15,1,347
2000,15,2,403
2000,15,3,5718
2000,15,4,140131
2000,15,5,28530
2000,16,0,38982
2000,16,1,149
2000,16,3,1369
2000,16,4,21925
2000,16,5,15530
2000,17,0,529819
2000,17,1,4402
2000,17,2,3545
2000,17,3,20271
2000,17,4,377399
2000,17,5,124200
2000,18,0,190148
2000,18,1,927
2000,18,2,1494
2000,18,3,4222
2000,18,4,117947
2000,18,5,65547
2006,0,0,917550
2006,0,1,30544
2006,0,2,8960
2006,0,3,32444
2006,0,4,529557
2006,0,5,316021
2006,1,0,380022
2006,1,1,5527
2006,1,2,5045
2006,1,3,5302
2006,1,4,143892
2006,1,5,220209
2006,2,0,476994
2006,2,1,6533
2006,2,2,8119
2006,2,3,14805
2006,2,4,353709
2006,2,5,93822
2006,3,0,7537
2006,3,1,370
2006,3,3,88
2006,3,4,4955
2006,3,5,2117
2006,4,0,426743
2006,4,1,8162
2006,4,2,4432
2006,4,3,31152
2006,4,4,199475
2006,4,5,183521
2006,5,0,186289
2006,5,1,14605
2006,5,2,3203
2006,5,3,3861
2006,5,4,103743
2006,5,5,60874
2006,6,0,277554
2006,6,1,18049
2006,6,2,3440
2006,6,3,4344
2006,6,4,95510
2006,6,5,156211
2006,7,0,293958
2006,7,1,2741
2006,7,2,1729
2006,7,3,8379
2006,7,4,171846
2006,7,5,109263
2006,8,0,109997
2006,8,1,796
2006,8,2,2871
2006,8,3,11484
2006,8,4,57710
2006,8,5,37136
2006,9,0,679096
2006,9,1,19750
2006,9,2,4863
2006,9,3,15427
2006,9,4,430372
2006,9,5,208684
2006,10,0,513843
2006,10,1,5663
2006,10,2,3344
2006,10,3,14654
2006,10,4,326038
2006,10,5,164131
2006,11,0,196668
2006,11,1,1133
2006,11,2,3089
2006,11,3,4804
2006,11,4,128551
2006,11,5,59091
2006,12,0,400565
2006,12,1,2721
2006,12,2,1874
2006,12,3,10176
2006,12,4,259550
2006,12,5,126244
2006,13,0,614239
2006,13,1,3052
2006,13,2,3466
2006,13,3,20162
2006,13,4,407165
2006,13,5,180394
2006,14,0,74861
2006,14,1,353
2006,14,2,161
2006,14,3,2647
2006,14,4,60084
2006,14,5,11613
2006,15,0,175137
2006,15,1,357
2006,15,2,403
2006,15,3,5335
2006,15,4,140009
2006,15,5,29025
2006,16,0,38982
2006,16,1,144
2006,16,3,1355
2006,16,4,21437
2006,16,5,16037
2006,17,0,529819
2006,17,1,4458
2006,17,2,3658
2006,17,3,18876
2006,17,4,374159
2006,17,5,128666
2006,18,0,190148
2006,18,1,1071
2006,18,2,1639
2006,18,3,4012
2006,18,4,114329
2006,18,5,69086
2012,0,0,917550
2012,0,1,31007
2012,0,2,8388
2012,0,3,33413
2012,0,4,511511
2012,0,5,333207
