year,basin_index,class_id,count
2026,0,0,51116
2026,0,1,2505
2026,0,2,869
2026,0,3,3328
2026,0,4,26716
2026,0,5,17698
2026,1,0,20995
2026,1,1,518
2026,1,2,453
2026,1,3,846
2026,1,4,7249
2026,1,5,11929
2026,2,0,26560
2026,2,1,789
2026,2,2,595
2026,2,3,1486
2026,2,4,18419
2026,2,5,5271
2026,3,0,413
2026,3,1,25
2026,3,2,14
2026,3,3,15
2026,3,4,243
2026,3,5,116
2026,4,0,23843
2026,4,1,687
2026,4,2,492
2026,4,3,2898
2026,4,4,9959
2026,4,5,9807
2026,5,0,10415
2026,5,1,947
2026,5,2,536
2026,5,3,425
2026,5,4,5195
2026,5,5,3312
2026,6,0,15674
2026,6,1,1249
2026,6,2,599
2026,6,3,634
2026,6,4,4781
2026,6,5,8411
2026,7,0,16801
2026,7,1,542
2026,7,2,234
2026,7,3,838
2026,7,4,9024
2026,7,5,6163
2026,8,0,6304
2026,8,1,165
2026,8,2,164
2026,8,3,875
2026,8,4,3186
2026,8,5,1914
2026,9,0,38567
2026,9,1,1803
2026,9,2,901
2026,9,3,1930
2026,9,4,22092
2026,9,5,11841
2026,10,0,29637
2026,10,1,888
2026,10,2,537
2026,10,3,1372
2026,10,4,17306
2026,10,5,9534
2026,11,0,11179
2026,11,1,280
2026,11,2,253
2026,11,3,472
2026,11,4,6881
2026,11,5,3293
2026,12,0,22749
2026,12,1,550
2026,12,2,210
2026,12,3,1018
2026,12,4,13577
2026,12,5,7394
2026,13,0,34879
2026,13,1,688
2026,13,2,226
2026,13,3,1755
2026,13,4,22202
2026,13,5,10008
2026,14,0,4334
2026,14,1,110
2026,14,2,35
2026,14,3,198
2026,14,4,3215
2026,14,5,776
2026,15,0,10144
2026,15,1,167
2026,15,2,38
2026,15,3,398
2026,15,4,7832
2026,15,5,1709
2026,16,0,2256
2026,16,1,60
2026,16,2,5
2026,16,3,104
2026,16,4,1169
2026,16,5,918
2026,17,0,30475
2026,17,1,773
2026,17,2,262
2026,17,3,1677
2026,17,4,20495
2026,17,5,7268
2026,18,0,10984
2026,18,1,274
2026,18,2,178
2026,18,3,469
2026,18,4,6255
2026,18,5,3808
