year,basin_index,class_id,count
1910,0,0,12320
1910,0,1,218
1910,0,3,77
1910,0,4,8055
1910,0,5,3970
1910,1,0,5187
1910,1,1,37
1910,1,4,1915
1910,1,5,3235
1910,2,0,6663
1910,2,1,59
1910,2,3,8
1910,2,4,5525
1910,2,5,1071
1910,3,0,98
1910,3,1,4
1910,3,3,1
1910,3,4,76
1910,3,5,17
1910,4,0,5859
1910,4,1,54
1910,4,3,126
1910,4,4,3343
1910,4,5,2336
1910,5,0,2512
1910,5,1,173
1910,5,3,2
1910,5,4,1323
1910,5,5,1014
1910,6,0,3927
1910,6,1,122
1910,6,3,2
1910,6,4,1155
1910,6,5,2648
1910,7,0,4217
1910,7,1,24
1910,7,3,3
1910,7,4,2558
1910,7,5,1632
1910,8,0,1419
1910,8,1,24
1910,8,3,45
1910,8,4,1101
1910,8,5,249
1910,9,0,9669
1910,9,1,160
1910,9,3,10
1910,9,4,6895
1910,9,5,2604
1910,10,0,7395
1910,10,1,43
1910,10,3,15
1910,10,4,5176
1910,10,5,2161
1910,11,0,2807
1910,11,4,2070
1910,11,5,737
1910,12,0,5713
1910,12,1,19
1910,12,3,9
1910,12,4,4046
1910,12,5,1639
1910,13,0,8770
1910,13,1,6
1910,13,3,24
1910,13,4,7047
1910,13,5,1693
1910,14,0,1068
1910,14,3,1
1910,14,4,995
1910,14,5,72
1910,15,0,2505
1910,15,4,2318
1910,15,5,187
1910,16,0,539
1910,16,1,3
1910,16,3,1
1910,16,4,384
1910,16,5,151
1910,17,0,7649
1910,17,1,42
1910,17,3,29
1910,17,4,6330
1910,17,5,1248
1910,18,0,2689
1910,18,1,5
1910,18,3,2
1910,18,4,1629
1910,18,5,1053
1911,0,0,12320
1911,0,1,218
1911,0,3,74
1911,0,4,8062
1911,0,5,3966
1911,1,0,5187
1911,1,1,37
1911,1,4,1910
1911,1,5,3240
1911,2,0,6663
1911,2,1,59
1911,2,3,7
1911,2,4,5520
1911,2,5,1077
1911,3,0,98
1911,3,1,4
1911,3,3,1
1911,3,4,76
1911,3,5,17
1911,4,0,5859
1911,4,1,54
1911,4,3,129
1911,4,4,3319
1911,4,5,2357
1911,5,0,2512
1911,5,1,173
1911,5,3,2
1911,5,4,1320
1911,5,5,1017
1911,6,0,3927
1911,6,1,122
1911,6,3,2
1911,6,4,1142
1911,6,5,2661
1911,7,0,4217
1911,7,1,24
1911,7,3,3
1911,7,4,2551
1911,7,5,1639
1911,8,0,1419
1911,8,1,24
1911,8,3,40
1911,8,4,1096
1911,8,5,259
1911,9,0,9669
1911,9,1,160
1911,9,3,10
1911,9,4,6903
1911,9,5,2596
1911,10,0,7395
1911,10,1,43
1911,10,3,15
1911,10,4,5159
1911,10,5,2178
1911,11,0,2807
1911,11,4,2077
1911,11,5,730
1911,12,0,5713
1911,12,1,19
1911,12,3,10
1911,12,4,4060
1911,12,5,1624
1911,13,0,8770
1911,13,1,6
1911,13,3,33
1911,13,4,7039
1911,13,5,1692
1911,14,0,1069
1911,14,3,1
1911,14,4,1000
1911,14,5,68
1911,15,0,2505
1911,15,4,2314
1911,15,5,191
1911,16,0,539
1911,16,1,3
1911,16,3,1
1911,16,4,388
1911,16,5,147
1911,17,0,7649
1911,17,1,42
1911,17,3,28
1911,17,4,6336
1911,17,5,1243
1911,18,0,2688
1911,18,1,5
1911,18,3,2
1911,18,4,1640
1911,18,5,1041
1912,0,0,12320
1912,0,1,218
1912,0,3,77
1912,0,4,8072
1912,0,5,3953
1912,1,0,5187
1912,1,1,37
1912,1,4,1900
1912,1,5,3250
1912,2,0,6663
1912,2,1,59
1912,2,3,8
1912,2,4,5529
1912,2,5,1067
1912,3,0,98
1912,3,1,4
1912,3,3,1
1912,3,4,76
1912,3,5,17
1912,4,0,5859
1912,4,1,54
1912,4,3,126
1912,4,4,3314
1912,4,5,2365
1912,5,0,2512
1912,5,1,173
1912,5,3,2
1912,5,4,1320
1912,5,5,1017
